Product ID,name,Sales Volume,Promotion,Seasonal,price,section,price_tier,lead_time_tier,Product Position_Aisle,Product Position_End-cap,Product Position_Front of Store,season_Autumn,season_Spring,season_Summer,season_Winter,terms_jackets,terms_jeans,terms_shoes,terms_sweaters,terms_t-shirts,material_Acrylic,material_Cotton,material_Denim,material_Linen,material_Linen Blend,material_Polyester,material_Satin,material_Silk,material_Viscose,material_Wool,material_Wool Blend,in_season_flag,promo_x_position
185102,BASIC PUFFER JACKET,1243,1,1,78.99,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
188771,TUXEDO JACKET,1429,1,0,14.99,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
180176,SLIM FIT SUIT JACKET,1168,1,1,71.95,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
112917,STRETCH SUIT JACKET,1348,1,0,30.99,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
192936,DOUBLE FACED JACKET,1602,1,1,22.99,1,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
117590,CONTRASTING COLLAR JACKET,1282,1,1,25.95,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
189118,FAUX LEATHER PUFFER JACKET,688,0,0,87.99,0,3,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
182157,SUIT JACKET IN 100% LINEN,1711,1,1,24.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
141861,100% WOOL SUIT JACKET,857,0,1,32.95,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
137121,100% FEATHER FILL PUFFER JACKET,769,0,0,39.95,0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
113143,HERRINGBONE TEXTURED JACKET,1696,1,1,22.99,1,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
140028,OVERSIZED CROPPED JACKET LIMITED EDITION,1538,1,0,15.95,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
134693,LEATHER BIKER JACKET,822,0,1,49.99,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
151396,CROPPED LEATHER JACKET,840,0,0,69.99,1,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
132889,FAUX LEATHER BOXY FIT JACKET,1569,1,1,28.99,1,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
152174,FAUX LEATHER JACKET,952,0,1,29.99,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
129906,FAUX SUEDE BOMBER JACKET,915,0,1,29.99,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
195879,DENIM BOMBER JACKET,1522,1,1,25.99,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
155050,BOUCLÉ TEXTURED JACKET,1305,1,1,77.99,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
194410,SUIT JACKET IN 100% LINEN,840,0,0,49.99,1,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
141904,JACQUARD DENIM JACKET,997,0,0,25.95,1,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
124981,PADDED DENIM JACKET,857,0,1,79.99,1,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
161909,LEATHER JACKET,982,0,0,39.99,1,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
129152,LIGHTWEIGHT BOMBER JACKET,970,0,1,19.95,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
183243,SUIT JACKET,1453,1,0,39.99,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
198248,FAUX LEATHER BOMBER JACKET,870,0,0,22.99,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
191230,PATCH BOMBER JACKET,1533,1,0,21.99,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
187234,STRETCH POCKET OVERSHIRT,807,0,1,49.99,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
148888,RIB COLLAR JACKET,1604,1,1,24.95,1,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
110805,FAUX LEATHER OVERSIZED JACKET LIMITED EDITION,1255,1,1,21.99,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
179801,CONTRASTING PATCHES BOMBER JACKET,1268,1,1,22.99,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
134927,PATCH BOMBER JACKET,1047,0,1,24.0,1,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
123150,CROPPED BOMBER JACKET LIMITED EDITION,744,0,1,49.99,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
159145,FAUX LEATHER PUFFER JACKET,1744,1,1,32.99,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
